original_title;genre;director;actors;description;combined_features
The Threat;Crime, Drama, Film-Noir;Felix E. Feist;Michael O'Shea, Virginia Grey, Charles McGraw, Julie Bishop, Frank Conroy, Robert Shayne, Anthony Caruso, Don McGuire, Frank Richards, Michael McHale, Norman Nesbitt;Vicious hood 'Red' Kluger escapes from Folsom State Prison and follows through on his threats to the detective who arrested him and the D.A. who convicted him.;The Threat Crime, Drama, Film-Noir Felix E. Feist Michael O'Shea, Virginia Grey, Charles McGraw, Julie Bishop, Frank Conroy, Robert Shayne, Anthony Caruso, Don McGuire, Frank Richards, Michael McHale, Norman Nesbitt Vicious hood 'Red' Kluger escapes from Folsom State Prison and follows through on his threats to the detective who arrested him and the D.A. who convicted him.
Tokyo Joe;Crime, Drama, Film-Noir;Stuart Heisler;Humphrey Bogart, Alexander Knox, Florence Marly, Sessue Hayakawa, Jerome Courtland, Gordon Jones, Teru Shimada, Hideo Mori, Charles Meredith, Rhys Williams, Lora Lee Michel;An American returns to Tokyo try to pick up threads of his pre-WW2 life there, but finds himself squeezed between criminals and the authorities.;Tokyo Joe Crime, Drama, Film-Noir Stuart Heisler Humphrey Bogart, Alexander Knox, Florence Marly, Sessue Hayakawa, Jerome Courtland, Gordon Jones, Teru Shimada, Hideo Mori, Charles Meredith, Rhys Williams, Lora Lee Michel An American returns to Tokyo try to pick up threads of his pre-WW2 life there, but finds himself squeezed between criminals and the authorities.
Too Late for Tears;Crime, Drama, Film-Noir;Byron Haskin;Lizabeth Scott, Don DeFore, Dan Duryea, Arthur Kennedy, Kristine Miller, Barry Kelley;Through a fluke circumstance, a ruthless woman stumbles across a suitcase filled with $60,000, and is determined to hold onto it even if it means murder.;Too Late for Tears Crime, Drama, Film-Noir Byron Haskin Lizabeth Scott, Don DeFore, Dan Duryea, Arthur Kennedy, Kristine Miller, Barry Kelley Through a fluke circumstance, a ruthless woman stumbles across a suitcase filled with $60,000, and is determined to hold onto it even if it means murder.
Top o' the Morning;Comedy, Romance;David Miller;Bing Crosby, Ann Blyth, Barry Fitzgerald, Hume Cronyn, Eileen Crowe, John McIntire, Tudor Owen, Jimmy Hunt, Morgan Farley, John Eldredge, John 'Skins' Miller, John Costello, Dick Ryan, Bernard Cauley, Paul Connelly;A singing insurance investigator comes to Ireland to recover the stolen Blarney Stone...and romance the local policeman's daughter.;Top o' the Morning Comedy, Romance David Miller Bing Crosby, Ann Blyth, Barry Fitzgerald, Hume Cronyn, Eileen Crowe, John McIntire, Tudor Owen, Jimmy Hunt, Morgan Farley, John Eldredge, John 'Skins' Miller, John Costello, Dick Ryan, Bernard Cauley, Paul Connelly A singing insurance investigator comes to Ireland to recover the stolen Blarney Stone...and romance the local policeman's daughter.
The Torch;Action, Adventure, Comedy;Emilio Fernández;Paulette Goddard, Pedro Armendáriz, Gilbert Roland, Walter Reed, Julio Villarreal, Carlos Múzquiz, Margarito Luna, José Torvay, Pascual García Peña, Antonia Kaneem, Jorge Treviño, Rosaura Revueltas, Eduardo Arozamena, Guillermo Calles;A revolutionary and his band take over a small Mexican town. The townspeople begin to take sides over whether to fight him, join forces with him or just try to get along with him.;The Torch Action, Adventure, Comedy Emilio Fernández Paulette Goddard, Pedro Armendáriz, Gilbert Roland, Walter Reed, Julio Villarreal, Carlos Múzquiz, Margarito Luna, José Torvay, Pascual García Peña, Antonia Kaneem, Jorge Treviño, Rosaura Revueltas, Eduardo Arozamena, Guillermo Calles A revolutionary and his band take over a small Mexican town. The townspeople begin to take sides over whether to fight him, join forces with him or just try to get along with him.
Totò cerca casa;Comedy;Mario Monicelli, Steno;Totò, Alda Mangini, Lia Amanda, Mario Gattari, Aroldo Tieri, Folco Lulli, Enzo Biliotti, Mario Castellani, Pietro De Vico, Flavio Forin, Giacomo Furia, Marisa Merlini, Luigi Pavese, Cesare Polacco, Alfredo Ragusa;Beniamino and his family have lived in a school from the end of World War II. But five years have passed and they are compelled to move. In Rome, however, it is difficult to find an ...;Totò cerca casa Comedy Mario Monicelli, Steno Totò, Alda Mangini, Lia Amanda, Mario Gattari, Aroldo Tieri, Folco Lulli, Enzo Biliotti, Mario Castellani, Pietro De Vico, Flavio Forin, Giacomo Furia, Marisa Merlini, Luigi Pavese, Cesare Polacco, Alfredo Ragusa Beniamino and his family have lived in a school from the end of World War II. But five years have passed and they are compelled to move. In Rome, however, it is difficult to find an ...
Totò le mokò;Comedy;Carlo Ludovico Bragaglia;Totò, Gianna Maria Canale, Carla Calò, Franca Marzi, Elena Altieri, Luigi Pavese, Mario Castellani, Carlo Ninchi;The mobster Pep le Mok dies during a shootout with the police. His gang decide that his successor will be a relative of his from Naples: Antonio Lumaconi, a street musician.;Totò le mokò Comedy Carlo Ludovico Bragaglia Totò, Gianna Maria Canale, Carla Calò, Franca Marzi, Elena Altieri, Luigi Pavese, Mario Castellani, Carlo Ninchi The mobster Pep le Mok dies during a shootout with the police. His gang decide that his successor will be a relative of his from Naples: Antonio Lumaconi, a street musician.
Train of Events;Drama;Sidney Cole, Charles Crichton;Jack Warner, Gladys Henson, Susan Shaw, Patric Doonan, Philip Dale, Miles Malleson, Leslie Phillips, Percy Walsh, Will Ambro, Valerie Hobson, John Clements, Irina Baronova, John Gregson, Gwen Cherrell, Jacqueline Byrne;A train disaster is told as four short stories to give character studies of the people involved, how it will affect them, and how they deal with it.;Train of Events Drama Sidney Cole, Charles Crichton Jack Warner, Gladys Henson, Susan Shaw, Patric Doonan, Philip Dale, Miles Malleson, Leslie Phillips, Percy Walsh, Will Ambro, Valerie Hobson, John Clements, Irina Baronova, John Gregson, Gwen Cherrell, Jacqueline Byrne A train disaster is told as four short stories to give character studies of the people involved, how it will affect them, and how they deal with it.
Trapped;Crime, Drama, Film-Noir;Richard Fleischer;Lloyd Bridges, Barbara Payton, John Hoyt, James Todd, Russ Conway, Robert Karnes;Secret Service agents make a deal with a counterfeiting inmate to be released on early parole if he will help them recover some bogus moneymaking plates, but he plans to double cross them.;Trapped Crime, Drama, Film-Noir Richard Fleischer Lloyd Bridges, Barbara Payton, John Hoyt, James Todd, Russ Conway, Robert Karnes Secret Service agents make a deal with a counterfeiting inmate to be released on early parole if he will help them recover some bogus moneymaking plates, but he plans to double cross them.
Treasure of Monte Cristo;Crime, Drama, Film-Noir;William Berke;Glenn Langan, Adele Jergens, Steve Brodie, Bobby Jordan, Michael Whalen, George Davis, Margia Dean, Sid Melton, Brian O'Hara, Robert Boon, Jeritza Novak, Jimmy O'Neil, Curtis Jarrett, Charles Regan, Larry Barton;This modern tale borrows from an old story in establishing Langan, who works on a ship that docks in San Francisco, as a descendant of the Count of Monte Cristo. Crooked Lawyer Brodie sets ...;Treasure of Monte Cristo Crime, Drama, Film-Noir William Berke Glenn Langan, Adele Jergens, Steve Brodie, Bobby Jordan, Michael Whalen, George Davis, Margia Dean, Sid Melton, Brian O'Hara, Robert Boon, Jeritza Novak, Jimmy O'Neil, Curtis Jarrett, Charles Regan, Larry Barton This modern tale borrows from an old story in establishing Langan, who works on a ship that docks in San Francisco, as a descendant of the Count of Monte Cristo. Crooked Lawyer Brodie sets ...
Trottie True;Comedy, Music, Romance;Brian Desmond Hurst;Jean Kent, James Donald, Hugh Sinclair, Lana Morris, Andrew Crawford, Bill Owen, Michael Medwin, Joan Young, Harold Scott, Tony Halfpenny, Daphne Anderson, Carole Lesley, Carol Leslie, Dilys Laye, David Liney;In the 1890s, Trottie True moves from bit theatre parts to stardom, and from balloonist Sid Skinner to more prominent men. Later on, she wonders if Sid wasn't better after all, and seeks to...;Trottie True Comedy, Music, Romance Brian Desmond Hurst Jean Kent, James Donald, Hugh Sinclair, Lana Morris, Andrew Crawford, Bill Owen, Michael Medwin, Joan Young, Harold Scott, Tony Halfpenny, Daphne Anderson, Carole Lesley, Carol Leslie, Dilys Laye, David Liney In the 1890s, Trottie True moves from bit theatre parts to stardom, and from balloonist Sid Skinner to more prominent men. Later on, she wonders if Sid wasn't better after all, and seeks to...
Tulsa;Action, Drama, Romance;Stuart Heisler;Susan Hayward, Robert Preston, Pedro Armendáriz, Lloyd Gough, Chill Wills, Ed Begley, Jimmy Conlin, Roland Jack;In Tulsa, after a rancher dies during a feud with a major oil company, his daughter, driven by revenge, starts digging for oil herself.;Tulsa Action, Drama, Romance Stuart Heisler Susan Hayward, Robert Preston, Pedro Armendáriz, Lloyd Gough, Chill Wills, Ed Begley, Jimmy Conlin, Roland Jack In Tulsa, after a rancher dies during a feud with a major oil company, his daughter, driven by revenge, starts digging for oil herself.
Twelve O'Clock High;Drama, War;Henry King;Gregory Peck, Hugh Marlowe, Gary Merrill, Millard Mitchell, Dean Jagger, Robert Arthur, Paul Stewart, John Kellogg, Robert Patten, Lee MacGregor, Sam Edwards, Roger Anderson;A hard-as-nails general takes over a bomber unit suffering from low morale and whips them into fighting shape.;Twelve O'Clock High Drama, War Henry King Gregory Peck, Hugh Marlowe, Gary Merrill, Millard Mitchell, Dean Jagger, Robert Arthur, Paul Stewart, John Kellogg, Robert Patten, Lee MacGregor, Sam Edwards, Roger Anderson A hard-as-nails general takes over a bomber unit suffering from low morale and whips them into fighting shape.
Ulica Graniczna;Drama, War;Aleksander Ford;Mieczyslawa Cwiklinska, Jerzy Leszczynski, Wladyslaw Godik, Wladyslaw Walter, Jerzy Pichelski, Tadeusz Fijewski, Józef Munclinger, Robert Vrchota, Stefan Sródka, Eugeniusz Kruk, Jerzy Zlotnicki, Dionizy Ilczenko, Maria Broniewska, Justyna Kreczmar, Maria Zabczynska;The story of Polish and Jewish families living side by side in one Warsaw street. Everything changes once and for all with the Nazi invasion.;Ulica Graniczna Drama, War Aleksander Ford Mieczyslawa Cwiklinska, Jerzy Leszczynski, Wladyslaw Godik, Wladyslaw Walter, Jerzy Pichelski, Tadeusz Fijewski, Józef Munclinger, Robert Vrchota, Stefan Sródka, Eugeniusz Kruk, Jerzy Zlotnicki, Dionizy Ilczenko, Maria Broniewska, Justyna Kreczmar, Maria Zabczynska The story of Polish and Jewish families living side by side in one Warsaw street. Everything changes once and for all with the Nazi invasion.
Under Capricorn;Crime, Drama, Romance;Alfred Hitchcock;Ingrid Bergman, Joseph Cotten, Michael Wilding, Margaret Leighton, Cecil Parker, Denis O'Dea, Jack Watling, Harcourt Williams, John Ruddock, Bill Shine, Victor Lucas, Ronald Adam, Francis De Wolff, G.H. Mulcaster, Olive Sloane;A young gentleman goes to Australia where he reunites with his now married childhood sweetheart, only to find out she has become an alcoholic and harbors dark secrets.;Under Capricorn Crime, Drama, Romance Alfred Hitchcock Ingrid Bergman, Joseph Cotten, Michael Wilding, Margaret Leighton, Cecil Parker, Denis O'Dea, Jack Watling, Harcourt Williams, John Ruddock, Bill Shine, Victor Lucas, Ronald Adam, Francis De Wolff, G.H. Mulcaster, Olive Sloane A young gentleman goes to Australia where he reunites with his now married childhood sweetheart, only to find out she has become an alcoholic and harbors dark secrets.
Under My Skin;Drama, Sport, Thriller;Jean Negulesco;John Garfield, Micheline Presle, Luther Adler, Orley Lindgren, Noel Drayton;On the run from gamblers he double-crossed, expatriate jockey Danny Butler tries to justify his son's faith in him as a winner.;Under My Skin Drama, Sport, Thriller Jean Negulesco John Garfield, Micheline Presle, Luther Adler, Orley Lindgren, Noel Drayton On the run from gamblers he double-crossed, expatriate jockey Danny Butler tries to justify his son's faith in him as a winner.
The Undercover Man;Crime, Drama, Film-Noir;Joseph H. Lewis;Glenn Ford, Nina Foch, James Whitmore, Barry Kelley, David Bauer, Frank Tweddell, Howard St. John, John F. Hamilton, Leo Penn, Joan Lazer, Esther Minciotti, Angela Clarke, Anthony Caruso, Robert Osterloh, Kay Medford;Treasury Department agent Frank Warren takes on the case of a mob leader who has evaded paying taxes on his ill-gotten gains.;The Undercover Man Crime, Drama, Film-Noir Joseph H. Lewis Glenn Ford, Nina Foch, James Whitmore, Barry Kelley, David Bauer, Frank Tweddell, Howard St. John, John F. Hamilton, Leo Penn, Joan Lazer, Esther Minciotti, Angela Clarke, Anthony Caruso, Robert Osterloh, Kay Medford Treasury Department agent Frank Warren takes on the case of a mob leader who has evaded paying taxes on his ill-gotten gains.
Undertow;Crime, Drama, Film-Noir;William Castle;Scott Brady, John Russell, Dorothy Hart, Peggy Dow, Bruce Bennett, Gregg Martell, Robert Anderson, Dan Ferniel, Rock Hudson, Charles Sherlock, Anne P. Kramer;After being released from prison, an ex-convict is framed for a murder. The man sets out to find the real killers before the police blame the crime on him.;Undertow Crime, Drama, Film-Noir William Castle Scott Brady, John Russell, Dorothy Hart, Peggy Dow, Bruce Bennett, Gregg Martell, Robert Anderson, Dan Ferniel, Rock Hudson, Charles Sherlock, Anne P. Kramer After being released from prison, an ex-convict is framed for a murder. The man sets out to find the real killers before the police blame the crime on him.
Vote for Huggett;Comedy;Ken Annakin;Jack Warner, Kathleen Harrison, Susan Shaw, Petula Clark, David Tomlinson, Diana Dors, Peter Hammond, Amy Veness, Hubert Gregg, John Blythe, Anthony Newley, Charles Victor, Adrianne Allen, Frederick Piper, Empsie Bowman;A firm of solicitors do battle with the head of the local council over a parcel of river front land, owned by the Huggett family, in order to build a lido/community center.;Vote for Huggett Comedy Ken Annakin Jack Warner, Kathleen Harrison, Susan Shaw, Petula Clark, David Tomlinson, Diana Dors, Peter Hammond, Amy Veness, Hubert Gregg, John Blythe, Anthony Newley, Charles Victor, Adrianne Allen, Frederick Piper, Empsie Bowman A firm of solicitors do battle with the head of the local council over a parcel of river front land, owned by the Huggett family, in order to build a lido/community center.
Vulcano;Drama;William Dieterle;Anna Magnani, Rossano Brazzi, Geraldine Brooks, Eduardo Ciannelli, Adriano Ambrogi, Lucia Belfadel, Cesare Giuffrè, Rosina Galli, Enzo Staiola, Francesco Cupane, Ignazio Consiglio;"While awaiting Production Code seal approval in the USA this Italian-made production went through three American distributors in three years; first Motion Picture Sales Corporation that ...";"Vulcano Drama William Dieterle Anna Magnani, Rossano Brazzi, Geraldine Brooks, Eduardo Ciannelli, Adriano Ambrogi, Lucia Belfadel, Cesare Giuffrè, Rosina Galli, Enzo Staiola, Francesco Cupane, Ignazio Consiglio While awaiting Production Code seal approval in the USA this Italian-made production went through three American distributors in three years; first Motion Picture Sales Corporation that ..."
Waga koi wa moenu;Drama, Romance;Kenji Mizoguchi;Kinuyo Tanaka, Mitsuko Mito, Kuniko Miyake, Ichirô Sugai, Shinobu Araki, Zeya Chida, Eitarô Ozawa, Sadako Sawamura, Koreya Senda, Eijirô Tôno;A woman's struggle for equality in Japan in the 1880s. Eiko Hirayama leaves Okayama for Tokyo, where she helps the fledgling Liberal Party and falls in love with its leader Kentaro Omoi, ...;Waga koi wa moenu Drama, Romance Kenji Mizoguchi Kinuyo Tanaka, Mitsuko Mito, Kuniko Miyake, Ichirô Sugai, Shinobu Araki, Zeya Chida, Eitarô Ozawa, Sadako Sawamura, Koreya Senda, Eijirô Tôno A woman's struggle for equality in Japan in the 1880s. Eiko Hirayama leaves Okayama for Tokyo, where she helps the fledgling Liberal Party and falls in love with its leader Kentaro Omoi, ...
The Walking Hills;Adventure, Thriller, Western;John Sturges;Randolph Scott, Ella Raines, William Bishop, Edgar Buchanan, Arthur Kennedy, John Ireland, Jerome Courtland, Russell Collins, Josh White, Houseley Stevenson, Reed Howes;A group of treasure hunters search for a wagon load of gold, buried years before in Death Valley.;The Walking Hills Adventure, Thriller, Western John Sturges Randolph Scott, Ella Raines, William Bishop, Edgar Buchanan, Arthur Kennedy, John Ireland, Jerome Courtland, Russell Collins, Josh White, Houseley Stevenson, Reed Howes A group of treasure hunters search for a wagon load of gold, buried years before in Death Valley.
We Were Strangers;Adventure, Drama, Romance;John Huston;Jennifer Jones, John Garfield, Pedro Armendáriz, Gilbert Roland, Ramon Novarro, Wally Cassell, David Bond, José Pérez, Morris Ankrum;In 1930's Cuba, a bank clerk and an American mercenary assist a revolutionary group in a plan to kill the President but the Cuban Secret Police chief and the dictator's military complicate the plan's execution.;We Were Strangers Adventure, Drama, Romance John Huston Jennifer Jones, John Garfield, Pedro Armendáriz, Gilbert Roland, Ramon Novarro, Wally Cassell, David Bond, José Pérez, Morris Ankrum In 1930's Cuba, a bank clerk and an American mercenary assist a revolutionary group in a plan to kill the President but the Cuban Secret Police chief and the dictator's military complicate the plan's execution.
Whirlpool;Crime, Drama, Film-Noir;Otto Preminger;Gene Tierney, Richard Conte, José Ferrer, Charles Bickford, Barbara O'Neil, Eduard Franz, Constance Collier, Fortunio Bonanova;A woman suffering from kleptomania's hypnotised in an attempt to cure her.. Soon afterwards, she's found at the scene of a murder with no memory of how she got there, and seemingly no way to prove her innocence.;Whirlpool Crime, Drama, Film-Noir Otto Preminger Gene Tierney, Richard Conte, José Ferrer, Charles Bickford, Barbara O'Neil, Eduard Franz, Constance Collier, Fortunio Bonanova A woman suffering from kleptomania's hypnotised in an attempt to cure her.. Soon afterwards, she's found at the scene of a murder with no memory of how she got there, and seemingly no way to prove her innocence.
Whisky Galore!;Comedy, Crime;Alexander Mackendrick;Basil Radford, Catherine Lacey, Bruce Seton, Joan Greenwood, Wylie Watson, Gabrielle Blunt, Gordon Jackson, Jean Cadell, James Robertson Justice, Morland Graham, John Gregson, James Woodburn, James Anderson, Jameson Clark, Duncan Macrae;Scottish islanders try to plunder 50,000 cases of whisky from a stranded ship.;Whisky Galore! Comedy, Crime Alexander Mackendrick Basil Radford, Catherine Lacey, Bruce Seton, Joan Greenwood, Wylie Watson, Gabrielle Blunt, Gordon Jackson, Jean Cadell, James Robertson Justice, Morland Graham, John Gregson, James Woodburn, James Anderson, Jameson Clark, Duncan Macrae Scottish islanders try to plunder 50,000 cases of whisky from a stranded ship.
White Heat;Action, Crime, Drama;Raoul Walsh;James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly, Steve Cochran, John Archer, Wally Cassell, Fred Clark;A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.;White Heat Action, Crime, Drama Raoul Walsh James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly, Steve Cochran, John Archer, Wally Cassell, Fred Clark A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
The Window;Drama, Film-Noir, Thriller;Ted Tetzlaff;Barbara Hale, Arthur Kennedy, Paul Stewart, Ruth Roman, Bobby Driscoll;To avoid the heat of a sweltering summer night a 9-year-old Manhattan boy decides to sleep on the fire escape and witnesses a murder, but no one will believe him.;The Window Drama, Film-Noir, Thriller Ted Tetzlaff Barbara Hale, Arthur Kennedy, Paul Stewart, Ruth Roman, Bobby Driscoll To avoid the heat of a sweltering summer night a 9-year-old Manhattan boy decides to sleep on the fire escape and witnesses a murder, but no one will believe him.
Without Honor;Drama;Irving Pichel;Laraine Day, Dane Clark, Franchot Tone, Agnes Moorehead, Bruce Bennett, Frank Marlowe, Harry Lauter, Peter Virgo, Marjorie Stapp, Lester Dorr, Joan Dupuis, Harrison Hearne, Patricia Ann Ewing;Jane Bandle has recently married, but Bill, her husband's brother, tries to wreck her marriage because Jane rejected his sexual advances before her marriage.;Without Honor Drama Irving Pichel Laraine Day, Dane Clark, Franchot Tone, Agnes Moorehead, Bruce Bennett, Frank Marlowe, Harry Lauter, Peter Virgo, Marjorie Stapp, Lester Dorr, Joan Dupuis, Harrison Hearne, Patricia Ann Ewing Jane Bandle has recently married, but Bill, her husband's brother, tries to wreck her marriage because Jane rejected his sexual advances before her marriage.
Woman Hater;Comedy;Terence Young;Stewart Granger, Edwige Feuillère, Ronald Squire, Jeanne De Casalis, David Hutcheson, Mary Jerrold, Miles Malleson, Michael Medwin, W.A. Kelly, Valentine Dyall, Georgina Cookson, Henry Edwards, Stewart Rome, Irene Handl, Peter Bull;Terence is a bachelor who doesn't have much use for women. He meets Colette and takes a dislike to her. He pretends to be a real-estate agent trying to sell her his country estate, all the while planning to expose her.;Woman Hater Comedy Terence Young Stewart Granger, Edwige Feuillère, Ronald Squire, Jeanne De Casalis, David Hutcheson, Mary Jerrold, Miles Malleson, Michael Medwin, W.A. Kelly, Valentine Dyall, Georgina Cookson, Henry Edwards, Stewart Rome, Irene Handl, Peter Bull Terence is a bachelor who doesn't have much use for women. He meets Colette and takes a dislike to her. He pretends to be a real-estate agent trying to sell her his country estate, all the while planning to expose her.
Woman in Hiding;Crime, Drama, Film-Noir;Michael Gordon;Ida Lupino, Stephen McNally, Howard Duff, Peggy Dow, John Litel, Taylor Holmes, Irving Bacon, Don Beddoe, Joe Besser, William Gould;After her father is killed in an accident, mill heiress Deborah Chandler marries the plant manager, Selden Clark, but his motives are suspicious.;Woman in Hiding Crime, Drama, Film-Noir Michael Gordon Ida Lupino, Stephen McNally, Howard Duff, Peggy Dow, John Litel, Taylor Holmes, Irving Bacon, Don Beddoe, Joe Besser, William Gould After her father is killed in an accident, mill heiress Deborah Chandler marries the plant manager, Selden Clark, but his motives are suspicious.
A Woman's Secret;Drama, Film-Noir, Mystery;Nicholas Ray;Maureen O'Hara, Melvyn Douglas, Gloria Grahame, Bill Williams, Victor Jory, Mary Philips, Jay C. Flippen, Robert Warwick, Curt Conway, Ann Shoemaker, Virginia Farmer, Ellen Corby, Emory Parnell;Failed singer Marian Washburn confesses she shot her friend, successful singer Susan Caldwell, but her manager Luke Jordan and Detective Fowler doubt her story and cannot establish a reasonable motive.;A Woman's Secret Drama, Film-Noir, Mystery Nicholas Ray Maureen O'Hara, Melvyn Douglas, Gloria Grahame, Bill Williams, Victor Jory, Mary Philips, Jay C. Flippen, Robert Warwick, Curt Conway, Ann Shoemaker, Virginia Farmer, Ellen Corby, Emory Parnell Failed singer Marian Washburn confesses she shot her friend, successful singer Susan Caldwell, but her manager Luke Jordan and Detective Fowler doubt her story and cannot establish a reasonable motive.
Wuya yu maque;Drama;Junli Zheng;Dan Zhao, Yinyan Wu, Daolin Sun, Yunzhu Shangguan, Heling Wei, Tianji Li, Zongying Huang, Pei Wang, Han Cheng, Mo Cheng, Yunzhu Ouytang, Lulu Wang, Gan Zhang, Lide Zhang;A story of a corrupt party official who attempts to sell an apartment building he has appropriated from the original owner and the struggles of the tenants to prevent themselves being thrown onto the street.;Wuya yu maque Drama Junli Zheng Dan Zhao, Yinyan Wu, Daolin Sun, Yunzhu Shangguan, Heling Wei, Tianji Li, Zongying Huang, Pei Wang, Han Cheng, Mo Cheng, Yunzhu Ouytang, Lulu Wang, Gan Zhang, Lide Zhang A story of a corrupt party official who attempts to sell an apartment building he has appropriated from the original owner and the struggles of the tenants to prevent themselves being thrown onto the street.
Yotsuya kaidan;Horror;Keisuke Kinoshita;Kinuyo Tanaka, Ken Uehara, Hisako Yamane, Haruko Sugimura, Chôko Iida, Osamu Takizawa, Jûkichi Uno, Keiji Sada, Aizo Tamashima, Ken Mitsuda, Yoshindo Yamaji, Daisuke Katô, Kanichi Kato, Kimie Hayashi, Akio Miyajima;Iemon Tamiya is an impovershed masterless samurai who craves a better life, which he cannot have because of his marriage to Oiwa, who is completely devoted to her husband;Yotsuya kaidan Horror Keisuke Kinoshita Kinuyo Tanaka, Ken Uehara, Hisako Yamane, Haruko Sugimura, Chôko Iida, Osamu Takizawa, Jûkichi Uno, Keiji Sada, Aizo Tamashima, Ken Mitsuda, Yoshindo Yamaji, Daisuke Katô, Kanichi Kato, Kimie Hayashi, Akio Miyajima Iemon Tamiya is an impovershed masterless samurai who craves a better life, which he cannot have because of his marriage to Oiwa, who is completely devoted to her husband
You're My Everything;Comedy, Musical;Walter Lang;Dan Dailey, Anne Baxter, Anne Revere, Stanley Ridges, Shari Robinson, Henry O'Neill, Selena Royle, Alan Mowbray, Robert Arthur, Buster Keaton;In 1924, stage-struck Boston blueblood Hannah Adams picks up musical star Tim O'Connor and takes him home for dinner. One thing leads to another, and when Tim's show rolls on to Chicago a ...;You're My Everything Comedy, Musical Walter Lang Dan Dailey, Anne Baxter, Anne Revere, Stanley Ridges, Shari Robinson, Henry O'Neill, Selena Royle, Alan Mowbray, Robert Arthur, Buster Keaton In 1924, stage-struck Boston blueblood Hannah Adams picks up musical star Tim O'Connor and takes him home for dinner. One thing leads to another, and when Tim's show rolls on to Chicago a ...
The Younger Brothers;Western;Edwin L. Marin;Wayne Morris, Janis Paige, Bruce Bennett, Geraldine Brooks, Robert Hutton, Alan Hale, Fred Clark, James Brown, Monte Blue, Tom Tyler, William Forrest, Ian Wolfe;Brothers who rode with a notorious outlaw gang led by Frank and Jesse James decide to go straight and try to get pardons so they can return to a law-abiding life.;The Younger Brothers Western Edwin L. Marin Wayne Morris, Janis Paige, Bruce Bennett, Geraldine Brooks, Robert Hutton, Alan Hale, Fred Clark, James Brown, Monte Blue, Tom Tyler, William Forrest, Ian Wolfe Brothers who rode with a notorious outlaw gang led by Frank and Jesse James decide to go straight and try to get pardons so they can return to a law-abiding life.
Åsa-Nisse;Comedy;Ragnar Frisk;John Elfström, Artur Rolén, Emy Hagman, Bertil Boo, Greta Berthels, Gustaf Lövås, Gösta Gustafson, Josua Bengtson, Astrid Bodin, Helga Brofeldt, Einar Lidholm, Stig Johanson, Gösta Ericsson, Verner Oakland, Lillie Wästfeldt;At a parish meeting Åsa-Nisse suggests that they should hire a common home help, who could give their wives some relief by staying one week at each household. The meeting assents and ...;Åsa-Nisse Comedy Ragnar Frisk John Elfström, Artur Rolén, Emy Hagman, Bertil Boo, Greta Berthels, Gustaf Lövås, Gösta Gustafson, Josua Bengtson, Astrid Bodin, Helga Brofeldt, Einar Lidholm, Stig Johanson, Gösta Ericsson, Verner Oakland, Lillie Wästfeldt At a parish meeting Åsa-Nisse suggests that they should hire a common home help, who could give their wives some relief by staying one week at each household. The meeting assents and ...
47 morto che parla;Comedy;Carlo Ludovico Bragaglia;Totò, Silvana Pampanini, Adriana Benetti, Dante Maggio, Tina Lattanzi, Aldo Bufi Landi, Eduardo Passarelli, Arturo Bragaglia, Mario Castellani, Gildo Bocci, Franco Pucci, Diana Lante, Rita Andreana, Totò Mignone, Gustavo Serena;The story is set in a small town near Naples early 1900. Baron Antonio Peletti is a stingy and cruel man who thinks only to spend the bare minimum needs for his son and future daughter-in-law, even if he lives in a luxurious house.;47 morto che parla Comedy Carlo Ludovico Bragaglia Totò, Silvana Pampanini, Adriana Benetti, Dante Maggio, Tina Lattanzi, Aldo Bufi Landi, Eduardo Passarelli, Arturo Bragaglia, Mario Castellani, Gildo Bocci, Franco Pucci, Diana Lante, Rita Andreana, Totò Mignone, Gustavo Serena The story is set in a small town near Naples early 1900. Baron Antonio Peletti is a stingy and cruel man who thinks only to spend the bare minimum needs for his son and future daughter-in-law, even if he lives in a luxurious house.
711 Ocean Drive;Action, Crime, Drama;Joseph M. Newman;Edmond O'Brien, Joanne Dru, Otto Kruger, Barry Kelley, Dorothy Patrick, Don Porter, Howard St. John, Robert Osterloh, Sammy White;An electronics expert creates a huge bookie broadcast system for his crime boss, and takes over operations when his boss is murdered. His greed leads him on a deadly destructive path.;711 Ocean Drive Action, Crime, Drama Joseph M. Newman Edmond O'Brien, Joanne Dru, Otto Kruger, Barry Kelley, Dorothy Patrick, Don Porter, Howard St. John, Robert Osterloh, Sammy White An electronics expert creates a huge bookie broadcast system for his crime boss, and takes over operations when his boss is murdered. His greed leads him on a deadly destructive path.
